zip,mean_household_income,income_bracket
00601,24344,Low Income (<$50k)
00602,31422,Low Income (<$50k)
00603,35288,Low Income (<$50k)
00606,26233,Low Income (<$50k)
00610,35229,Low Income (<$50k)
00611,34618,Low Income (<$50k)
00612,36437,Low Income (<$50k)
00616,29618,Low Income (<$50k)
00617,36953,Low Income (<$50k)
00622,40118,Low Income (<$50k)
00623,39277,Low Income (<$50k)
00624,30644,Low Income (<$50k)
00627,37518,Low Income (<$50k)
00631,24108,Low Income (<$50k)
00636,22715,Low Income (<$50k)
00637,36996,Low Income (<$50k)
00638,27699,Low Income (<$50k)
00641,29650,Low Income (<$50k)
00646,75980,Middle Income ($50k-$100k)
00647,26267,Low Income (<$50k)
00650,27192,Low Income (<$50k)
00652,44131,Low Income (<$50k)
00653,23419,Low Income (<$50k)
00656,32669,Low Income (<$50k)
00659,40314,Low Income (<$50k)
00660,37760,Low Income (<$50k)
00662,32585,Low Income (<$50k)
00664,28318,Low Income (<$50k)
00667,25725,Low Income (<$50k)
00669,26242,Low Income (<$50k)
00670,23921,Low Income (<$50k)
00674,36647,Low Income (<$50k)
00676,35758,Low Income (<$50k)
00677,36673,Low Income (<$50k)
00678,31138,Low Income (<$50k)
00680,29472,Low Income (<$50k)
00682,35797,Low Income (<$50k)
00683,30181,Low Income (<$50k)
00685,29694,Low Income (<$50k)
00687,36828,Low Income (<$50k)
00688,31028,Low Income (<$50k)
00690,33582,Low Income (<$50k)
00692,42179,Low Income (<$50k)
00693,38555,Low Income (<$50k)
00694,59841,Middle Income ($50k-$100k)
00698,33129,Low Income (<$50k)
00703,35478,Low Income (<$50k)
00704,28023,Low Income (<$50k)
00705,31554,Low Income (<$50k)
00707,26658,Low Income (<$50k)
00714,32686,Low Income (<$50k)
00715,24949,Low Income (<$50k)
00716,37650,Low Income (<$50k)
00717,26386,Low Income (<$50k)
00718,30732,Low Income (<$50k)
00719,32628,Low Income (<$50k)
00720,28102,Low Income (<$50k)
00723,29829,Low Income (<$50k)
00725,46951,Low Income (<$50k)
00727,55593,Middle Income ($50k-$100k)
00728,34360,Low Income (<$50k)
00729,44881,Low Income (<$50k)
00730,29638,Low Income (<$50k)
00731,29522,Low Income (<$50k)
00735,36625,Low Income (<$50k)
00736,42614,Low Income (<$50k)
00738,35064,Low Income (<$50k)
00739,41515,Low Income (<$50k)
00740,29038,Low Income (<$50k)
00741,33150,Low Income (<$50k)
00745,38923,Low Income (<$50k)
00751,32769,Low Income (<$50k)
00754,35126,Low Income (<$50k)
00757,42023,Low Income (<$50k)
00765,24050,Low Income (<$50k)
00766,38277,Low Income (<$50k)
00767,29045,Low Income (<$50k)
00769,32052,Low Income (<$50k)
00771,38449,Low Income (<$50k)
00772,27682,Low Income (<$50k)
00773,37906,Low Income (<$50k)
00775,36880,Low Income (<$50k)
00777,38618,Low Income (<$50k)
00778,64236,Middle Income ($50k-$100k)
00780,43118,Low Income (<$50k)
00782,26774,Low Income (<$50k)
00783,33532,Low Income (<$50k)
00784,31914,Low Income (<$50k)
00786,32271,Low Income (<$50k)
00791,41613,Low Income (<$50k)
00794,35093,Low Income (<$50k)
00795,34648,Low Income (<$50k)
00901,76940,Middle Income ($50k-$100k)
00906,56878,Middle Income ($50k-$100k)
00907,101853,Upper Middle Income ($100k-$200k)
00909,49442,Low Income (<$50k)
00911,101214,Upper Middle Income ($100k-$200k)
00912,51250,Middle Income ($50k-$100k)
00913,37636,Low Income (<$50k)
00915,24943,Low Income (<$50k)
00917,32485,Low Income (<$50k)
00918,73233,Middle Income ($50k-$100k)
00920,43692,Low Income (<$50k)
00921,41594,Low Income (<$50k)
00923,31566,Low Income (<$50k)
00924,36370,Low Income (<$50k)
00925,26618,Low Income (<$50k)
